country_name,iso_code,authority_name,protection_level,last_reviewed,reviewed_by,notes
Italy,IT,CONSOB,Altissimo,,pending human review,Automated preliminary classification
Germany,DE,BaFin,Altissimo,,pending human review,Automated preliminary classification
